customer_id,transaction_amount,transaction_date
ACC2,52,2017-04-29 09:12:34
ACC1,44,2017-04-29 13:35:21
ACC2,48,2017-03-24 02:42:50
ACC1,5,2017-05-05 19:39:47
ACC4,71,2017-04-12 07:55:24
ACC3,65,2017-04-04 08:10:54
ACC1,39,2017-01-14 00:33:36
ACC1,28,2017-05-26 09:39:09
ACC2,31,2017-02-08 11:07:00
ACC2,24,2017-03-13 06:56:05
ACC1,87,2017-02-25 06:55:34
ACC2,1,2017-03-05 14:31:49
ACC3,11,2017-04-28 11:52:47
ACC4,88,2017-04-06 03:04:46
ACC1,51,2017-03-18 02:56:14
ACC3,24,2017-04-10 06:54:37
ACC1,81,2017-01-26 19:38:44
ACC2,24,2017-04-15 15:34:17
ACC1,57,2017-01-20 03:51:39
ACC2,4,2017-03-10 10:15:55
ACC3,22,2017-04-16 23:10:22
ACC1,4,2017-04-17 15:55:50
ACC1,75,2017-02-22 22:10:53
ACC1,5,2017-03-07 20:30:17
ACC4,71,2017-04-03 14:24:14
ACC1,8,2017-01-15 15:04:04
ACC3,76,2017-05-26 10:36:30
ACC1,77,2017-01-20 01:43:02
ACC4,21,2017-02-16 20:18:21
ACC3,35,2017-05-16 09:06:48
ACC2,86,2017-01-19 02:41:19
ACC2,36,2017-04-21 16:12:44
ACC3,58,2017-03-24 03:21:51
ACC4,4,2017-04-17 11:01:42
ACC4,53,2017-02-04 14:40:28
ACC2,33,2017-01-03 10:36:21
ACC4,63,2017-03-25 04:50:33
ACC4,5,2017-05-27 18:24:09
ACC3,50,2017-04-14 12:06:18
ACC2,34,2017-04-14 13:38:32
ACC4,26,2017-02-21 10:28:21
ACC4,94,2017-03-23 16:20:54
ACC4,99,2017-05-06 08:16:22
ACC1,15,2017-05-14 23:32:43
ACC4,88,2017-02-08 22:21:46
ACC4,76,2017-04-16 11:30:44
ACC1,81,2017-04-01 02:57:31
ACC4,77,2017-03-29 17:15:30
ACC4,22,2017-02-09 21:40:43
ACC3,43,2017-01-03 07:16:41
ACC4,76,2017-05-22 07:44:19
ACC4,58,2017-03-24 12:49:35
ACC4,96,2017-05-05 08:44:12
ACC2,30,2017-02-11 18:52:04
ACC4,62,2017-03-20 09:23:55
ACC3,38,2017-05-18 22:44:45
ACC1,18,2017-05-13 05:58:50
ACC1,84,2017-04-15 03:14:27
ACC3,55,2017-05-29 20:09:24
ACC2,94,2017-01-19 21:30:03
ACC4,8,2017-03-24 18:09:04
ACC3,22,2017-01-01 12:49:34
ACC3,60,2017-03-22 02:17:47
ACC2,84,2017-02-14 19:58:32
ACC3,6,2017-02-16 22:08:49
ACC1,42,2017-02-21 06:28:27
ACC2,59,2017-05-04 23:09:37
ACC1,49,2017-04-21 06:03:28
ACC2,60,2017-03-15 13:37:27
ACC3,87,2017-01-25 02:13:11
ACC2,41,2017-03-25 17:46:53
ACC2,92,2017-05-03 20:15:06
ACC4,14,2017-03-15 04:23:38
ACC2,77,2017-01-10 20:48:31
ACC3,2,2017-04-14 21:33:21
ACC1,87,2017-03-02 07:31:39
ACC1,95,2017-01-01 04:21:18
ACC4,83,2017-02-12 03:20:06
ACC2,99,2017-05-12 18:33:19
ACC3,12,2017-02-16 11:44:06
ACC4,58,2017-01-22 02:24:34
ACC2,55,2017-02-13 22:33:50
ACC2,88,2017-05-24 00:16:57
ACC4,79,2017-05-06 22:16:19
ACC1,93,2017-04-05 11:21:29
ACC4,9,2017-04-28 03:18:47
ACC2,92,2017-03-20 02:35:46
ACC2,28,2017-03-04 04:17:40
ACC1,94,2017-01-13 21:06:17
ACC3,19,2017-03-28 20:20:37
ACC3,58,2017-04-18 22:08:02
ACC1,72,2017-05-28 23:28:45
ACC2,94,2017-03-15 19:41:59
ACC4,14,2017-04-04 01:35:16
ACC4,31,2017-04-19 08:53:06
ACC4,64,2017-05-03 16:03:29
ACC2,71,2017-04-24 15:48:20
ACC4,49,2017-01-21 18:05:16
ACC2,32,2017-01-18 21:30:26
ACC4,71,2017-04-10 12:09:54
